Source,Target,Type,ID,Label,Weight
6,1,directed,,,-2.333333333
8,1,directed,,,-4.666666667
9,1,directed,,,1.5
10,1,directed,,,-1
14,1,directed,,,-0.571428571
15,1,directed,,,1.25
16,1,directed,,,-0.857142857
18,1,directed,,,-2
22,1,directed,,,-1.142857143
23,1,directed,,,-3.769230769
24,1,directed,,,0.142857143
30,1,directed,,,0
7,2,directed,,,-1.666666667
11,2,directed,,,3.5
13,2,directed,,,1.333333333
15,2,directed,,,-0.2
16,2,directed,,,-3
18,2,directed,,,1.916666667
21,2,directed,,,-0.142857143
22,2,directed,,,1.714285714
23,2,directed,,,-3.25
24,2,directed,,,2.333333333
26,2,directed,,,4.666666667
29,2,directed,,,-0.75
30,2,directed,,,1.333333333
4,3,directed,,,0.076923077
6,3,directed,,,-2.333333333
7,3,directed,,,1
10,3,directed,,,0
11,3,directed,,,3
12,3,directed,,,1
17,3,directed,,,3.333333333
19,3,directed,,,3.166666667
22,3,directed,,,-2
27,3,directed,,,-0.666666667
29,3,directed,,,-1.555555556
30,3,directed,,,0.75
3,4,directed,,,-0.076923077
5,4,directed,,,-0.666666667
6,4,directed,,,-2.666666667
10,4,directed,,,-0.285714286
16,4,directed,,,1.333333333
17,4,directed,,,-6.666666667
19,4,directed,,,4
20,4,directed,,,0.5
22,4,directed,,,-2
25,4,directed,,,-1.333333333
26,4,directed,,,-2
27,4,directed,,,1.142857143
28,4,directed,,,-4.666666667
29,4,directed,,,-0.333333333
4,5,directed,,,0.666666667
7,5,directed,,,-2.166666667
9,5,directed,,,1.857142857
14,5,directed,,,1.833333333
15,5,directed,,,-3
16,5,directed,,,-1.625
19,5,directed,,,2.333333333
21,5,directed,,,0.25
22,5,directed,,,-0.5
23,5,directed,,,2.666666667
24,5,directed,,,-1.5
26,5,directed,,,0
1,6,directed,,,2.333333333
3,6,directed,,,2.333333333
4,6,directed,,,2.666666667
8,6,directed,,,0.444444444
10,6,directed,,,0.166666667
12,6,directed,,,-2.857142857
13,6,directed,,,2.333333333
17,6,directed,,,1.25
19,6,directed,,,2.666666667
23,6,directed,,,-1.333333333
25,6,directed,,,-5.5
27,6,directed,,,0.666666667
2,7,directed,,,1.666666667
3,7,directed,,,-1
5,7,directed,,,2.166666667
8,7,directed,,,-1.333333333
9,7,directed,,,1.333333333
14,7,directed,,,2.666666667
16,7,directed,,,3.857142857
19,7,directed,,,2
21,7,directed,,,-1.666666667
22,7,directed,,,-2.285714286
24,7,directed,,,-2.714285714
26,7,directed,,,-2.444444444
29,7,directed,,,6
1,8,directed,,,4.666666667
6,8,directed,,,-0.444444444
7,8,directed,,,1.333333333
9,8,directed,,,7.5
10,8,directed,,,0.833333333
11,8,directed,,,-1.166666667
12,8,directed,,,-0.222222222
17,8,directed,,,-2.333333333
20,8,directed,,,-3.25
25,8,directed,,,-2.333333333
27,8,directed,,,1.333333333
28,8,directed,,,-2.333333333
29,8,directed,,,-1
1,9,directed,,,-1.5
5,9,directed,,,-1.857142857
7,9,directed,,,-1.333333333
8,9,directed,,,-7.5
14,9,directed,,,0.444444444
16,9,directed,,,0.25
17,9,directed,,,-2
21,9,directed,,,-4.25
23,9,directed,,,-0.666666667
24,9,directed,,,-2.857142857
25,9,directed,,,2.25
26,9,directed,,,-3.666666667
30,9,directed,,,4.25
1,10,directed,,,1
3,10,directed,,,0
4,10,directed,,,0.285714286
6,10,directed,,,-0.166666667
8,10,directed,,,-0.833333333
11,10,directed,,,0.75
12,10,directed,,,-1
13,10,directed,,,1.142857143
17,10,directed,,,-0.666666667
20,10,directed,,,-0.666666667
25,10,directed,,,-0.333333333
27,10,directed,,,4
28,10,directed,,,-0.333333333
2,11,directed,,,-3.5
3,11,directed,,,-3
8,11,directed,,,1.166666667
10,11,directed,,,-0.75
12,11,directed,,,0.285714286
13,11,directed,,,0.2
15,11,directed,,,-6
17,11,directed,,,-8
19,11,directed,,,-0.75
20,11,directed,,,-3.6
25,11,directed,,,-0.714285714
27,11,directed,,,-0.666666667
28,11,directed,,,-2.857142857
3,12,directed,,,-1
6,12,directed,,,2.857142857
8,12,directed,,,0.222222222
10,12,directed,,,1
11,12,directed,,,-0.285714286
13,12,directed,,,-2.666666667
17,12,directed,,,2.875
19,12,directed,,,1.166666667
20,12,directed,,,1.666666667
23,12,directed,,,-2.666666667
24,12,directed,,,-0.5
27,12,directed,,,0
28,12,directed,,,2.25
2,13,directed,,,-1.333333333
6,13,directed,,,-2.333333333
10,13,directed,,,-1.142857143
11,13,directed,,,-0.2
12,13,directed,,,2.666666667
15,13,directed,,,2.333333333
17,13,directed,,,1
18,13,directed,,,-0.666666667
20,13,directed,,,-0.6
25,13,directed,,,0.166666667
27,13,directed,,,0.5
28,13,directed,,,1
29,13,directed,,,0.75
1,14,directed,,,0.571428571
5,14,directed,,,-1.833333333
7,14,directed,,,-2.666666667
9,14,directed,,,-0.444444444
15,14,directed,,,-2.25
16,14,directed,,,0
21,14,directed,,,-1.666666667
22,14,directed,,,-5
23,14,directed,,,-5.166666667
24,14,directed,,,-0.7
26,14,directed,,,-0.857142857
30,14,directed,,,0.666666667
1,15,directed,,,-1.25
2,15,directed,,,0.2
5,15,directed,,,3
11,15,directed,,,6
13,15,directed,,,-2.333333333
14,15,directed,,,2.25
18,15,directed,,,-1
20,15,directed,,,0.5
21,15,directed,,,-2.4
22,15,directed,,,-0.142857143
23,15,directed,,,-1.666666667
25,15,directed,,,1.666666667
26,15,directed,,,2.666666667
27,15,directed,,,1
30,15,directed,,,1
1,16,directed,,,0.857142857
2,16,directed,,,3
4,16,directed,,,-1.333333333
5,16,directed,,,1.625
7,16,directed,,,-3.857142857
9,16,directed,,,-0.25
14,16,directed,,,0
18,16,directed,,,-2.285714286
22,16,directed,,,0.333333333
23,16,directed,,,-1.75
24,16,directed,,,0.75
26,16,directed,,,0.571428571
29,16,directed,,,0.5
3,17,directed,,,-3.333333333
4,17,directed,,,6.666666667
6,17,directed,,,-1.25
8,17,directed,,,2.333333333
9,17,directed,,,2
10,17,directed,,,0.666666667
11,17,directed,,,8
12,17,directed,,,-2.875
13,17,directed,,,-1
20,17,directed,,,-2.666666667
24,17,directed,,,0
25,17,directed,,,3
27,17,directed,,,1
28,17,directed,,,1
1,18,directed,,,2
2,18,directed,,,-1.916666667
13,18,directed,,,0.666666667
15,18,directed,,,1
16,18,directed,,,2.285714286
21,18,directed,,,-1.166666667
22,18,directed,,,0.333333333
23,18,directed,,,-1.333333333
24,18,directed,,,-1.666666667
28,18,directed,,,0.5
30,18,directed,,,3.333333333
3,19,directed,,,-3.166666667
4,19,directed,,,-4
5,19,directed,,,-2.333333333
6,19,directed,,,-2.666666667
7,19,directed,,,-2
11,19,directed,,,0.75
12,19,directed,,,-1.166666667
20,19,directed,,,-0.666666667
22,19,directed,,,-0.666666667
26,19,directed,,,-2.666666667
27,19,directed,,,-0.666666667
29,19,directed,,,-2.285714286
4,20,directed,,,-0.5
8,20,directed,,,3.25
10,20,directed,,,0.666666667
11,20,directed,,,3.6
12,20,directed,,,-1.666666667
13,20,directed,,,0.6
15,20,directed,,,-0.5
17,20,directed,,,2.666666667
19,20,directed,,,0.666666667
25,20,directed,,,0.857142857
27,20,directed,,,1.5
28,20,directed,,,1.111111111
29,20,directed,,,-1
30,20,directed,,,1.666666667
2,21,directed,,,0.142857143
5,21,directed,,,-0.25
7,21,directed,,,1.666666667
9,21,directed,,,4.25
14,21,directed,,,1.666666667
15,21,directed,,,2.4
18,21,directed,,,1.166666667
22,21,directed,,,-0.333333333
24,21,directed,,,2
25,21,directed,,,3
26,21,directed,,,3
28,21,directed,,,4.666666667
30,21,directed,,,-0.5
1,22,directed,,,1.142857143
2,22,directed,,,-1.714285714
3,22,directed,,,2
4,22,directed,,,2
5,22,directed,,,0.5
7,22,directed,,,2.285714286
14,22,directed,,,5
15,22,directed,,,0.142857143
16,22,directed,,,-0.333333333
18,22,directed,,,-0.333333333
19,22,directed,,,0.666666667
21,22,directed,,,0.333333333
26,22,directed,,,1
30,22,directed,,,-2.333333333
1,23,directed,,,3.769230769
2,23,directed,,,3.25
5,23,directed,,,-2.666666667
6,23,directed,,,1.333333333
9,23,directed,,,0.666666667
12,23,directed,,,2.666666667
14,23,directed,,,5.166666667
15,23,directed,,,1.666666667
16,23,directed,,,1.75
18,23,directed,,,1.333333333
24,23,directed,,,-1.666666667
28,23,directed,,,2.75
30,23,directed,,,1.666666667
1,24,directed,,,-0.142857143
2,24,directed,,,-2.333333333
5,24,directed,,,1.5
7,24,directed,,,2.714285714
9,24,directed,,,2.857142857
12,24,directed,,,0.5
14,24,directed,,,0.7
16,24,directed,,,-0.75
17,24,directed,,,0
18,24,directed,,,1.666666667
21,24,directed,,,-2
23,24,directed,,,1.666666667
26,24,directed,,,0.666666667
30,24,directed,,,2.666666667
4,25,directed,,,1.333333333
6,25,directed,,,5.5
8,25,directed,,,2.333333333
9,25,directed,,,-2.25
10,25,directed,,,0.333333333
11,25,directed,,,0.714285714
13,25,directed,,,-0.166666667
15,25,directed,,,-1.666666667
17,25,directed,,,-3
20,25,directed,,,-0.857142857
21,25,directed,,,-3
27,25,directed,,,-7
28,25,directed,,,-2
29,25,directed,,,2.714285714
30,25,directed,,,3.666666667
2,26,directed,,,-4.666666667
4,26,directed,,,2
5,26,directed,,,0
7,26,directed,,,2.444444444
9,26,directed,,,3.666666667
14,26,directed,,,0.857142857
15,26,directed,,,-2.666666667
16,26,directed,,,-0.571428571
19,26,directed,,,2.666666667
21,26,directed,,,-3
22,26,directed,,,-1
24,26,directed,,,-0.666666667
29,26,directed,,,-1.666666667
30,26,directed,,,2.666666667
3,27,directed,,,0.666666667
4,27,directed,,,-1.142857143
6,27,directed,,,-0.666666667
8,27,directed,,,-1.333333333
10,27,directed,,,-4
11,27,directed,,,0.666666667
12,27,directed,,,0
13,27,directed,,,-0.5
15,27,directed,,,-1
17,27,directed,,,-1
19,27,directed,,,0.666666667
20,27,directed,,,-1.5
25,27,directed,,,7
28,27,directed,,,0
29,27,directed,,,-0.3
4,28,directed,,,4.666666667
8,28,directed,,,2.333333333
10,28,directed,,,0.333333333
11,28,directed,,,2.857142857
12,28,directed,,,-2.25
13,28,directed,,,-1
17,28,directed,,,-1
18,28,directed,,,-0.5
20,28,directed,,,-1.111111111
21,28,directed,,,-4.666666667
23,28,directed,,,-2.75
25,28,directed,,,2
27,28,directed,,,0
29,28,directed,,,0.333333333
30,28,directed,,,-3.333333333
2,29,directed,,,0.75
3,29,directed,,,1.555555556
4,29,directed,,,0.333333333
7,29,directed,,,-6
8,29,directed,,,1
13,29,directed,,,-0.75
16,29,directed,,,-0.5
19,29,directed,,,2.285714286
20,29,directed,,,1
25,29,directed,,,-2.714285714
26,29,directed,,,1.666666667
27,29,directed,,,0.3
28,29,directed,,,-0.333333333
1,30,directed,,,0
2,30,directed,,,-1.333333333
3,30,directed,,,-0.75
9,30,directed,,,-4.25
14,30,directed,,,-0.666666667
15,30,directed,,,-1
18,30,directed,,,-3.333333333
20,30,directed,,,-1.666666667
21,30,directed,,,0.5
22,30,directed,,,2.333333333
23,30,directed,,,-1.666666667
24,30,directed,,,-2.666666667
25,30,directed,,,-3.666666667
26,30,directed,,,-2.666666667
28,30,directed,,,3.333333333
